Ticker,Date,Zscore,prem_disc
HAL,2025-08-06,-2.08,-0.3298
HAS,2025-09-05,-0.21,0.3073
HAS,2025-08-06,-1.16,1.1917
HBAN,2025-09-05,0.12,0.2666
HBAN,2025-08-06,-0.49,0.2715
HCA,2025-09-05,-1.02,0.4474
HCA,2025-08-06,1.08,0.0938
HD,2025-09-05,0.6,-0.2778
HD,2025-08-06,1.49,1.2556
HIG,2025-09-05,-0.93,0.1693
HIG,2025-08-06,0.08,-0.0611
HII,2025-09-05,-2.01,1.169
HII,2025-08-06,1.78,-0.4622
HLT,2025-09-05,-0.82,0.0893
HLT,2025-08-06,0.93,0.4021
HLX,2025-09-05,-1.23,-0.1553
HLX,2025-08-06,0.76,-0.2168
HOLX,2025-09-05,-1.56,1.1647
HOLX,2025-08-06,1.52,1.1931
HON,2025-09-05,-1.17,0.3175
HON,2025-08-06,0.89,0.1505
HPE,2025-09-05,-0.94,0.2241
HPE,2025-08-06,-1.49,0.5918
HPQ,2025-09-05,0.91,-0.1621
HPQ,2025-08-06,-1.77,0.0781
HRL,2025-09-05,1.57,-0.58
HRL,2025-08-06,-0.4,1.8575
HSIC,2025-09-05,-2.73,0.1955
HSIC,2025-08-06,2.16,0.0161
HST,2025-09-05,0.4,0.071
HST,2025-08-06,-1.26,0.4333
HSY,2025-09-05,-0.66,-0.2036
HSY,2025-08-06,-2.08,-0.3622
HUBB,2025-09-05,-0.26,-0.0127
HUBB,2025-08-06,1.52,0.2542
HUM,2025-09-05,-1.57,0.9818
HUM,2025-08-06,1.49,-0.5389
HWM,2025-09-05,-1.64,0.4674
HWM,2025-08-06,1.3,-0.3234
HYG,2025-09-05,1.21,-0.0069
HYG,2025-08-06,-1.43,2.746
IBKR,2025-09-05,0.95,0.1395
IBKR,2025-08-06,0.78,
IBM,2025-09-05,-1.06,-0.0152
IBM,2025-08-06,1.0,0.4432
ICE,2025-09-05,-1.19,0.4973
ICE,2025-08-06,1.39,0.414
ICL,2025-09-05,-1.23,0.5176
ICL,2025-08-06,-0.48,0.5297
