"Date","Ticker","prem_disc","prem_disc_avg","prem_disc_hi","prem_disc_lo"
8/16/2024 0:00:00,"XLV","-0.2580","0.1521","0.5405","-0.2363"
8/19/2024 0:00:00,"XLV","0.0081","0.1521","0.5405","-0.2363"
8/20/2024 0:00:00,"XLV","-0.3574","0.1521","0.5405","-0.2363"
8/21/2024 0:00:00,"XLV","-0.1214","0.1521","0.5405","-0.2363"
8/22/2024 0:00:00,"XLV","0.0107","0.1521","0.5405","-0.2363"
8/23/2024 0:00:00,"XLV","0.0031","0.1521","0.5405","-0.2363"
8/26/2024 0:00:00,"XLV","0.2086","0.1521","0.5405","-0.2363"
8/27/2024 0:00:00,"XLV","-0.3720","0.1521","0.5405","-0.2363"
8/28/2024 0:00:00,"XLV","-0.0020","0.1521","0.5405","-0.2363"
8/29/2024 0:00:00,"XLV","-0.1001","0.1521","0.5405","-0.2363"
8/30/2024 0:00:00,"XLV","0.0357","0.1521","0.5405","-0.2363"
9/3/2024 0:00:00,"XLV","0.1020","0.1521","0.5405","-0.2363"
9/4/2024 0:00:00,"XLV","0.6241","0.1521","0.5405","-0.2363"
9/5/2024 0:00:00,"XLV","0.3870","0.1521","0.5405","-0.2363"
9/6/2024 0:00:00,"XLV","0.4416","0.1521","0.5405","-0.2363"
9/9/2024 0:00:00,"XLV","0.7620","0.1521","0.5405","-0.2363"
9/10/2024 0:00:00,"XLV","1.0502","0.1521","0.5405","-0.2363"
9/11/2024 0:00:00,"XLV","0.7134","0.1521","0.5405","-0.2363"
9/12/2024 0:00:00,"XLV","0.8705","0.1521","0.5405","-0.2363"
9/13/2024 0:00:00,"XLV","0.8231","0.1521","0.5405","-0.2363"
9/16/2024 0:00:00,"XLV","0.8573","0.1521","0.5405","-0.2363"
9/17/2024 0:00:00,"XLV","0.6063","0.1521","0.5405","-0.2363"
9/18/2024 0:00:00,"XLV","0.7340","0.1521","0.5405","-0.2363"
9/19/2024 0:00:00,"XLV","0.6808","0.1521","0.5405","-0.2363"
9/20/2024 0:00:00,"XLV","0.5275","0.1521","0.5405","-0.2363"
9/23/2024 0:00:00,"XLV","-0.2128","0.1521","0.5405","-0.2363"
9/24/2024 0:00:00,"XLV","-0.2124","0.1521","0.5405","-0.2363"
9/25/2024 0:00:00,"XLV","0.2991","0.1521","0.5405","-0.2363"
9/26/2024 0:00:00,"XLV","0.1146","0.1521","0.5405","-0.2363"
9/27/2024 0:00:00,"XLV","0.1720","0.1521","0.5405","-0.2363"
9/30/2024 0:00:00,"XLV","0.9408","0.1521","0.5405","-0.2363"
10/1/2024 0:00:00,"XLV","0.8426","0.1521","0.5405","-0.2363"
10/2/2024 0:00:00,"XLV","0.4705","0.1521","0.5405","-0.2363"
10/3/2024 0:00:00,"XLV","0.5863","0.1521","0.5405","-0.2363"
10/4/2024 0:00:00,"XLV","0.8064","0.1521","0.5405","-0.2363"
10/7/2024 0:00:00,"XLV","1.1465","0.1521","0.5405","-0.2363"
10/8/2024 0:00:00,"XLV","1.8115","0.1521","0.5405","-0.2363"
10/9/2024 0:00:00,"XLV","0.6924","0.1521","0.5405","-0.2363"
10/10/2024 0:00:00,"XLV","0.6796","0.1521","0.5405","-0.2363"
10/11/2024 0:00:00,"XLV","0.6244","0.1521","0.5405","-0.2363"
10/14/2024 0:00:00,"XLV","0.6567","0.1521","0.5405","-0.2363"
10/15/2024 0:00:00,"XLV","0.5240","0.1521","0.5405","-0.2363"
10/16/2024 0:00:00,"XLV","0.5401","0.1521","0.5405","-0.2363"
10/17/2024 0:00:00,"XLV","0.7990","0.1521","0.5405","-0.2363"
10/18/2024 0:00:00,"XLV","0.9091","0.1521","0.5405","-0.2363"
10/21/2024 0:00:00,"XLV","0.3982","0.1521","0.5405","-0.2363"
10/22/2024 0:00:00,"XLV","0.6136","0.1521","0.5405","-0.2363"
10/23/2024 0:00:00,"XLV","0.8051","0.1521","0.5405","-0.2363"
